番号,表現,例文（英語）,例文（和訳）,文法ポイント,使用場面,カジュアル版,フォーマル版,よくある間違い,備考
1,"I hope this email finds you well","Dear Sarah, I hope this email finds you well. I'm writing to follow up on our meeting last week.","親愛なるサラ、お元気でお過ごしのことと思います。先週の会議のフォローアップのためにご連絡しています。","find + 目的語 + 補語。三単現finds。","ビジネスメールの冒頭、久しぶりの連絡、正式な問い合わせ","Hope you're doing well...","I trust this message finds you in good health...","I hope this email find you well... (三単現のs欠落)","定型表現として自然に使い、すぐ本題へ"
2,"As per our discussion...","As per our discussion yesterday, I'm attaching the revised proposal for your review.","昨日の話し合いの通り、レビュー用に修正した提案書を添付します。","as per + 名詞。やや形式的。","会議後のフォローアップ、合意事項の確認、行動の根拠説明","As we discussed...","In accordance with our conversation...","As per we discussed... (構文の混同)","perをビジネス文書らしく明確に発音"
3,"Please find attached...","Please find attached the quarterly report as requested.","ご依頼の四半期報告書を添付いたします。","命令文。attached後置修飾。","ファイル送付、資料の共有、要求された文書の提供","I've attached...","Kindly find enclosed...","Please find the attached... (語順の誤り)","attachedを添付を確認するように発音"
4,"I'm reaching out to...","I'm reaching out to inquire about your consulting services.","コンサルティングサービスについてお問い合わせのためご連絡しています。","reach out句動詞。to不定詞で目的。","初めての連絡、協力の依頼、情報の問い合わせ","I'm writing to...","I am contacting you to...","I'm reaching out for... (目的にはto不定詞)","reachingを積極的でも押し付けがましくなく"
5,"Thank you for your prompt response","Thank you for your prompt response. Your feedback is very helpful.","迅速なご返信ありがとうございます。フィードバックはとても参考になります。","prompt形容詞。response名詞。","返信への感謝、迅速な対応の評価、良好な関係の維持","Thanks for getting back so quickly...","I appreciate your expeditious reply...","Thank you for your prompt respond... (名詞形の誤り)","promptを評価を込めて発音"
6,"I look forward to hearing from you","Please let me know your thoughts. I look forward to hearing from you.","ご意見をお聞かせください。お返事をお待ちしております。","look forward to + 動名詞。","メールの締めくくり、返信の促し、継続的なやり取り","Hope to hear from you soon...","I eagerly await your response...","I look forward to hear from you... (to不定詞の誤り)","forwardを期待を込めて前向きに発音"
7,"Please don't hesitate to...","Please don't hesitate to contact me if you have any questions.","ご質問がございましたら、遠慮なくご連絡ください。","hesitate + to不定詞。否定命令文。","質問の奨励、サポートの申し出、オープンなコミュニケーション","Feel free to...","I encourage you to...","Please don't hesitate contacting... (to不定詞が必要)","hesitateを否定的でなく奨励的に発音"
8,"Further to our conversation...","Further to our conversation this morning, I've prepared a detailed timeline.","今朝の会話に引き続き、詳細なタイムラインを準備しました。","further to慣用句。前置詞句。","会話の継続、追加情報の提供、議論の発展","Following up on...","In continuation of...","Further from our conversation... (前置詞の誤り)","furtherを継続性を示すように発音"
9,"I would be grateful if...","I would be grateful if you could provide your feedback by Friday.","金曜日までにフィードバックをいただければ幸いです。","仮定法過去。grateful形容詞。","重要な依頼、上司や顧客への依頼、慎重を要する要求","I'd appreciate it if...","I would be most obliged if...","I would grateful if... (be動詞の欠落)","gratefulを深い感謝を込めて発音"
10,"Kind regards / Best regards","Thank you for your time and consideration. Kind regards, John Smith","お時間とご検討ありがとうございます。よろしくお願いします、ジョン・スミス","regards複数形。結びの定型。","ビジネスメールの締め、プロフェッショナルな結び、継続的な関係","Best, / Regards,","Yours sincerely, / Respectfully,","Kind regard (単数形の誤り)","結びとして自然に、名前の前で改行"
11,"Please see below...","Please see below for the meeting agenda and let me know if you'd like to add anything.","会議の議題は以下をご覧ください。追加したいことがあればお知らせください。","see below慣用句。冠詞不要。","情報の提示、リストや詳細の参照、転送メールの説明","See below...","Kindly refer to the information below...","Please see the below... (冠詞は不要)","belowを下方向を示すように発音"
12,"I apologize for any inconvenience","I apologize for any inconvenience this may have caused.","これによりご迷惑をおかけしたことをお詫びします。","apologize for + 名詞。any一般化。","システム障害の通知、遅延の謝罪、変更の通知","Sorry for any trouble...","I sincerely apologize for any inconvenience caused...","I apologize any inconvenience... (前置詞の欠落)","apologizeを誠実さを込めて発音"
