番号,表現,例文（英語）,例文（和訳）,文法ポイント,使用場面,カジュアル版,フォーマル版,よくある間違い,備考
1,"This algorithm has a time complexity of...","This algorithm has a time complexity of O(n log n) in the average case.","このアルゴリズムの平均的な時間計算量はO(n log n)です。","has + a time complexity of + 記法。","パフォーマンス分析、アルゴリズム比較、効率性の説明","It runs in O(n log n)...","The computational complexity is...","Has time complexity O(n)... (前置詞of必要)","complexityを技術的指標として発音"
2,"We're using a hash table for...","We're using a hash table for constant-time lookups.","定数時間の検索のためにハッシュテーブルを使用しています。","現在進行形 + for + 目的。","実装の説明、設計決定の理由、データ構造の選択","Using a hash map here...","We have implemented a hash table to...","Using hash table to... (冠詞a必要)","hash tableを技術選択として明確に発音"
3,"This traverses the tree in...","This traverses the tree in depth-first order.","これは木を深さ優先順序で走査します。","traverse他動詞 + in + 順序。","アルゴリズムの動作説明、データ構造の操作、実装詳細","It goes through the tree...","The traversal follows a depth-first pattern...","Traverse the tree by... (前置詞in)","traverseを技術的動作として発音"
4,"The space complexity is...","The space complexity is O(n) due to the auxiliary array.","補助配列のため、空間計算量はO(n)です。","The + 主語 + is + 記法。","メモリ分析、効率性評価、リソース計画","It uses O(n) memory...","The memory requirement is...","Space complexity are... (単数is)","complexityを重要な指標として発音"
5,"This is a classic example of...","This is a classic example of the divide-and-conquer approach.","これは分割統治法の典型的な例です。","This is + a classic example of + パターン。","パターン認識、教育的説明、概念の説明","This is typical...","This exemplifies...","Classic example for... (前置詞of)","classicを教育的な例として発音"
6,"We need to optimize for the worst case","We need to optimize for the worst case since this is critical path.","これはクリティカルパスなので、最悪の場合に対して最適化する必要があります。","need to + optimize for + 対象。","性能保証、リスク管理、クリティカルシステム","Handle the worst case...","Optimization should consider worst-case scenarios...","Optimize to worst case... (前置詞for)","worst caseを重要な考慮事項として発音"
7,"This uses dynamic programming","This uses dynamic programming to avoid redundant calculations.","これは冗長な計算を避けるために動的計画法を使用します。","This uses + アルゴリズム手法。","解法の説明、アルゴリズム選択、最適化戦略","It's a DP solution...","This employs dynamic programming techniques...","Use the dynamic programming... (三単現uses)","dynamic programmingを専門技術として発音"
8,"The amortized cost is...","The amortized cost is O(1) for this operation.","この操作の償却計算量はO(1)です。","The amortized cost + is + 計算量。","詳細な分析、データ構造の評価、長期的性能","On average, it's O(1)...","The amortized time complexity is...","Amortized costs is... (単数cost is)","amortizedを専門的分析として発音"
9,"This maintains the invariant that...","This maintains the invariant that the heap property holds.","これはヒープ特性が保たれるという不変条件を維持します。","maintain他動詞 + the invariant + that節。","正当性の証明、アルゴリズム設計、条件の保証","It keeps the property...","The invariant is preserved throughout...","Maintain invariant that... (冠詞the必要)","invariantを重要な性質として発音"
10,"We're trading space for time","We're trading space for time by precomputing these values.","これらの値を事前計算することで、時間のために空間を犠牲にしています。","trade A for B句動詞。現在進行形。","最適化戦略、リソース配分、設計決定","Using more memory for speed...","We are exchanging memory for performance...","Trading space with time... (前置詞for)","tradingをトレードオフとして発音"
