番号,表現,例文（英語）,例文（和訳）,文法ポイント,使用場面,カジュアル版,フォーマル版,よくある間違い,備考
1,"I estimate this will take...","I estimate this will take about 3 days to complete.","これは完了まで約3日かかると見積もります。","estimate動詞 + will未来形。","タスク見積もり、計画立案、リソース配分","This'll take about...","My estimation is...","I estimate this takes... (未来will)","estimateを専門的見積もりとして発音"
2,"We're on track to...","We're on track to deliver by the end of the sprint.","スプリント終了までに納品する予定で順調です。","on track慣用句 + to不定詞。","進捗報告、ステータス更新、期限管理","Going well for...","We are progressing as scheduled...","On the track to... (冠詞不要)","on trackを順調な進行として発音"
3,"I'm about 80% done","I'm about 80% done with the implementation.","実装の約80%が完了しています。","be + パーセント + done。","進捗率報告、タスク状況、完了度確認","Almost done...","The completion rate is approximately...","About 80% finish... (過去分詞done)","percentを明確な進捗として発音"
4,"This is taking longer than expected","This is taking longer than expected due to unforeseen complexity.","予期しない複雑さのため、予想より時間がかかっています。","現在進行形 + 比較級longer。","遅延報告、見積もり修正、問題共有","Running late...","The task is exceeding the estimated timeframe...","Taking more long than... (比較級longer)","longerを遅延として懸念を込めて発音"
5,"We've hit a blocker","We've hit a blocker with the third-party API.","サードパーティAPIでブロッカーに遭遇しました。","現在完了 + hit a blocker。","問題報告、支援要請、リスク共有","Stuck on...","We have encountered an impediment...","Hit blocker... (冠詞a必要)","blockerを重大な障害として発音"
6,"I need to revise my estimate","I need to revise my estimate - it'll take 5 days instead of 3.","見積もりを修正する必要があります - 3日ではなく5日かかります。","need to + 動詞原形。","見積もり変更、計画修正、期待値調整","Need more time...","The estimate requires adjustment...","Need revise my estimate... (to不定詞)","reviseを必要な調整として発音"
7,"We're ahead of schedule","We're ahead of schedule by two days.","予定より2日進んでいます。","ahead of前置詞句。","好調な進捗、早期完了、ポジティブ報告","Running early...","We are exceeding the planned timeline...","Ahead schedule... (前置詞of必要)","aheadを良い進捗として肯定的に発音"
8,"This is a rough estimate","This is a rough estimate - between 40 to 60 hours.","これは概算です - 40から60時間の間です。","rough形容詞 + estimate名詞。","初期見積もり、概算提示、精度の説明","Just a guess...","This is an approximate estimation...","Rough estimation... (名詞estimate)","roughを概算として控えめに発音"
9,"We're making steady progress","We're making steady progress on the refactoring.","リファクタリングで着実に進捗しています。","make progress慣用句。steady形容詞。","定期報告、安定した進行、チーム更新","Moving along...","Progress is consistent...","Making steady progresses... (不可算progress)","steadyを安定性として発音"
10,"I'll need to push this to next sprint","I'll need to push this to next sprint due to dependencies.","依存関係のため、これを次のスプリントに延期する必要があります。","push to句動詞。","スケジュール調整、優先順位変更、タスク延期","Moving to next sprint...","This will be deferred to...","Push this in next sprint... (前置詞to)","pushを必要な調整として発音"
11,"The velocity is...","The velocity is 30 story points per sprint.","ベロシティはスプリントあたり30ストーリーポイントです。","velocity技術用語。単数is。","スプリント計画、生産性測定、キャパシティ管理","We complete 30 points...","The team's productivity metric is...","Velocity are... (単数is)","velocityをアジャイル指標として発音"
