番号,表現,例文（英語）,例文（和訳）,文法ポイント,使用場面,カジュアル版,フォーマル版,よくある間違い,備考
1,"Let me bring you up to speed","Just joined the project. - Let me bring you up to speed on our progress.","プロジェクトに参加したばかり。- 進捗を把握してもらいましょう。","慣用句。up to speedで最新状態。","新メンバーオンボーディング、引き継ぎ、復帰サポート","I'll catch you up","I'll provide you with a comprehensive update","bring you to speed (up欠落)","情報共有の申し出"
2,"Can you walk me through your implementation?","I implemented the caching. - Can you walk me through your implementation?","キャッシングを実装しました。- 実装について説明してもらえますか？","walk through で段階的説明。目的語の位置。","コードレビュー、ペアプログラミング、技術学習","Can you show me how it works?","Would you mind explaining your approach?","walk through me your... (語順)","学習意欲のある質問"
3,"I'd love to pick your brain about...","You know microservices. - I'd love to pick your brain about service mesh.","マイクロサービスに詳しいですね。- サービスメッシュについて知恵を借りたいです。","pick someone's brainは慣用句。単数形。","技術相談、キャリアアドバイス、ブレインストーミング","Can I ask you about...?","I would appreciate your insights on...","pick your brains (複数形誤り)","カジュアルな相談"
4,"Let's sync up on the approach","Working on different parts. - Let's sync up on the approach for consistency.","別々の部分を担当。- 一貫性のためアプローチを同期しましょう。","sync upは句動詞。onで対象指定。","スプリント計画、実装調整、チーム連携","Let's get on the same page","We should align our methodologies","sync on the approach up (語順)","方向性の統一"
5,"I'm happy to pair on this","This algorithm is complex. - I'm happy to pair on this.","このアルゴリズムは複雑。- 喜んでペアでやります。","pairを動詞使用。on thisで対象。","複雑な実装、バグ解決、新技術学習","Let's do it together","I would be pleased to collaborate","pair with this (前置詞誤り)","協力的な申し出"
6,"Let me share my screen","How did you implement? - Let me share my screen to show you.","どう実装した？- 画面共有して見せます。","動詞句の語順。所有格my必要。","リモートペアプロ、コードレビュー、トラブルシューティング","I'll show you","May I present my screen?","Let me screen share (語順)","視覚的な説明"
7,"Feel free to ping me anytime","Thanks for explaining. - Feel free to ping me anytime with questions.","説明ありがとう。- いつでも気軽に質問してください。","feel free to不定詞。anytimeで時間不問。","新人サポート、メンタリング、チーム協力","Just message me whenever","Please don't hesitate to contact me","Feel free for pinging (前置詞誤り)","開かれた支援姿勢"
8,"Let's do a knowledge transfer session","Moving to another team. - Let's do a knowledge transfer session.","別チームへ異動。- ナレッジトランスファーセッションをしましょう。","ビジネス用語。冠詞a必要。","引き継ぎ、専門知識共有、スキル向上","Let's share what you know","We should arrange formal knowledge documentation","do knowledge transfer session (冠詞欠落)","体系的な知識移転"
9,"I'm running into the same issue","Build keeps failing. - I'm running into the same issue.","ビルドが失敗し続ける。- 同じ問題に遭遇しています。","現在進行形で継続性。run intoは句動詞。","共通問題、バグ再現、トラブルシューティング","Same here","I'm experiencing identical difficulties","I run into (時制誤り)","共感と連帯"
10,"Let's brainstorm solutions together","Need 50% faster API. - Let's brainstorm solutions together.","API50%高速化必要。- 一緒に解決策をブレインストーミングしましょう。","brainstormを動詞使用。togetherで協調強調。","設計会議、問題解決、イノベーション","Let's throw around some ideas","We should conduct a collaborative ideation session","do brainstorming solutions (冗長)","集合知の活用"
11,"I documented this in our wiki","How to handle migrations? - I documented this in our wiki last week.","マイグレーションの方法は？- 先週wikiに文書化しました。","過去形で完了報告。in our wikiで場所。","プロセス標準化、トラブルシューティング、ベストプラクティス","I wrote it down in the wiki","This has been formally documented","documented this on our wiki (前置詞)","知識の永続化"
12,"Can we mob on this feature?","Feature touches many parts. - Can we mob on this feature?","機能が多くに影響。- この機能をモブプログラミングしませんか？","mobを動詞使用。on で対象指定。","重要機能実装、複雑リファクタリング、チーム学習","Let's all work on this together","Shall we employ mob programming methodology?","do mobbing on this (冗長)","全員参加型開発"
13,"I'll create a runbook for this","Deployment is complex. - I'll create a runbook for this.","デプロイが複雑。- ランブックを作成します。","runbookは業界用語。冠詞a必要。","運用手順標準化、インシデント対応、オンコール体制","I'll write up the steps","I will develop operational documentation","create runbook (冠詞欠落)","運用知識の文書化"
14,"Let's have a post-mortem on this","Yesterday's outage. - Let's have a post-mortem on this.","昨日の障害。- ポストモーテムを実施しましょう。","技術業界定着用語。on thisが慣用的。","インシデント振り返り、失敗学習、プロセス改善","Let's review what went wrong","We should conduct a retrospective analysis","post-mortem about this (前置詞)","失敗から学ぶ文化"
15,"I can rubber duck with you","Stuck on this logic. - I can rubber duck with you.","ロジックで詰まった。- ラバーダッキングの相手をします。","プログラミング文化の表現。動詞使用。","デバッグ支援、設計整理、問題明確化","Talk me through it","I'm available as a sounding board","do rubber ducking (名詞形)","思考整理の支援"
16,"Let's align on priorities","Everyone working differently. - Let's align on priorities.","みんな別々に作業。- 優先順位を揃えましょう。","align on で合意対象。複数形注意。","スプリント計画、目標設定、リソース配分","Let's get our priorities straight","We should synchronize our objectives","align priorities (on欠落)","方向性統一"
