番号,表現,例文（英語）,例文（和訳）,文法ポイント,使用場面,カジュアル版,フォーマル版,よくある間違い,備考
1,"Let's follow the principle of least surprise","Should delete return item or status? - Let's follow the principle of least surprise.","削除は項目かステータスを返すべき？- 最小驚き原則に従いましょう。","定冠詞必要。確立された原則。","API設計、UI/UX決定、インターフェース設計","Let's keep it intuitive","We should adhere to established conventions","principle of least surprise (冠詞欠落)","直感的な設計推奨"
2,"This adheres to SOLID principles","Why split into three classes? - This adheres to SOLID principles.","なぜ3つのクラスに分割？- SOLID原則に準拠しています。","adhere to で準拠。複数形principles。","コードレビュー、設計説明、リファクタリング根拠","This follows SOLID","This implementation conforms to SOLID principles","adheres SOLID principles (to欠落)","設計品質の説明"
3,"Let's document the why, not just the what","Should I explain what function does? - Let's document the why, not just the what.","関数の動作を説明すべき？- 何をではなく、なぜを文書化しましょう。","疑問詞を冠詞で名詞化。対比構造。","コードコメント、設計文書、アーキテクチャ決定","Explain why, not what","Documentation should capture rationale","document why, not what (冠詞欠落)","深い理解促進"
4,"We should establish coding conventions","Everyone's style different. - We should establish coding conventions.","みんなのスタイルが違う。- コーディング規約を確立すべきです。","一般概念で冠詞不要。shouldで推奨。","新プロジェクト、コードレビュー基準、品質向上","Let's agree on a style guide","We need to implement standardized coding practices","the coding conventions (冠詞不要)","標準化の提案"
5,"This is self-documenting code","Need comments for this? - This is self-documenting code.","これにコメント必要？- 自己文書化コードです。","複合形容詞。不可算名詞code。","コードレビュー、リファクタリング成果、ベストプラクティス","The code explains itself","The implementation exhibits self-explanatory characteristics","a self-documenting code (冠詞不要)","高品質コード評価"
6,"Let's maintain a single source of truth","Config in three files. - Let's maintain a single source of truth.","設定が3ファイルに。- 単一の真実の源を維持しましょう。","確立された用語。冠詞a必要。","設定管理、データベース設計、ドキュメント管理","Keep it in one place","We should centralize authoritative data","single source of truth (冠詞欠落)","データ管理原則"
7,"We're following DRY principles here","Why extract to function? - We're following DRY principles here.","なぜ関数に抽出？- DRY原則に従っています。","現在進行形で継続実践。複数形principles。","リファクタリング説明、コードレビュー、設計根拠","We don't repeat code","We adhere to the Don't Repeat Yourself principle","DRY principle (複数形が一般的)","重複回避の説明"
8,"Let's add meaningful commit messages","I write 'fix' or 'update'. - Let's add meaningful commit messages.","'fix'や'update'と書く。- 意味のあるコミットメッセージを追加しましょう。","meaningfulで質強調。通常複数形。","チーム規約、コードレビュー、新人教育","Write better commit messages","We should implement descriptive version control annotations","meaningful commit message (複数形)","履歴管理改善"
9,"This follows the convention over configuration approach","Why no config needed? - This follows the convention over configuration approach.","なぜ設定不要？- 設定より規約のアプローチに従っています。","定冠詞the必要。確立された原則。","フレームワーク選定、設定設計、開発効率化","It uses smart defaults","This implements implicit configuration paradigm","convention over configuration approach (冠詞欠落)","設計哲学の説明"
10,"Let's implement proper error handling","App just crashes. - Let's implement proper error handling.","アプリがクラッシュ。- 適切なエラーハンドリングを実装しましょう。","properで適切さ強調。一般概念で冠詞不要。","コードレビュー、品質改善、UX向上","Let's handle errors better","We should establish comprehensive exception management","the proper error handling (冠詞不要)","品質向上提案"
